TELERIDE_NUMBER,STOP_NAME,STATUS,point
9535,EB 80 AV NE @ Tarawood LN,ACTIVE,POINT (-113.940597062609 51.1250445598484)
4815,NB Fairmount DR @ 78 AV SE,ACTIVE,POINT (-114.060391454396 50.9843094215747)
2824,WB 76 AV SE @ 57 ST SE,ACTIVE,POINT (-113.947209395466 50.9852143395799)
3535,EB 112 AV NW @ Rocky Ridge RD,ACTIVE,POINT (-114.232994598616 51.1540082431083)
2065,SB Shaganappi TR @ Kincora GA NW,ACTIVE,POINT (-114.143333803929 51.1626646208046)
8036,EB 8 AV NW @ 18 ST NW,ACTIVE,POINT (-114.102710937714 51.0595841238964)
8462,EB Hidden Valley DR @ Hidden Hill TC NW,ACTIVE,POINT (-114.128922230504 51.1491352383326)
8311,NB Queensland DR @ Queen Alexandra WY SE,ACTIVE,POINT (-114.026548467235 50.9381350791141)
4851,NB 4 ST NW @ 13 AV NW,ACTIVE,POINT (-114.071435137828 51.0650554964921)
5673,EB 12 AV N @ Centre ST N,ACTIVE,POINT (-114.061799191 51.0632573683117)
8088,SB 7 ST SW @ 3 AV SW,INACTIVE,POINT (-114.078576469458 51.0504917654428)
3974,NB Barlow TR @ Airport RD NE,ACTIVE,POINT (-114.00027740422 51.1353530337147)
4317,SB Country Hills BV @ Panorama Hills WY NW,ACTIVE,POINT (-114.06962148076 51.1510814220501)
8160,Whitehorn Drive Station (SB),INACTIVE,POINT (-113.958620831256 51.0854693115228)
8338,WB Evanston DR @ 24 ST NW,ACTIVE,POINT (-114.118510213684 51.1797999764779)
3688,SB Evanston VW @ Evansbrooke WY NW,ACTIVE,POINT (-114.12157019182 51.1665668695607)
5474,NB Northland DR @ Northmount DR NW,ACTIVE,POINT (-114.141062744082 51.0964002055068)
9957,EB 5 AV @ 2 ST SW,ACTIVE,POINT (-114.0682243601 51.0484855312132)
5282,SB Woodpark BV @ Woodside GA SW,ACTIVE,POINT (-114.109901727304 50.9374319619217)
8737,SB Elbow DR @ 32 AV SW,ACTIVE,POINT (-114.078681850669 51.0245621516969)
6525,EB McIvor BV @ Copperfield BV SE,INACTIVE,POINT (-113.942473144679 50.9138815394953)
6838,SB Arbour Lake WY @ Arbour Glen CL NW,ACTIVE,POINT (-114.191497745615 51.1362643295311)
4238,EB 90 AV SW @ Bay Ridge DR,ACTIVE,POINT (-114.108659268169 50.9721216093456)
4153,WB 64 AV NE @ Tararidge DR,ACTIVE,POINT (-113.941798087175 51.1107649098128)
6851,NB Northland DR @ N. of Northmount DR NW,ACTIVE,POINT (-114.141083426414 51.098379547945)
5104,SB 4 ST NW @ Northmount DR,ACTIVE,POINT (-114.071640050363 51.102038433438)
3448,NB Evanston WY @ Evansglen  LD NW,ACTIVE,POINT (-114.102694476383 51.1753263780836)
7210,NB Hawkwood BV @ Hawkcliff GA NW,ACTIVE,POINT (-114.166639833466 51.1273262847539)
